label	C1	C2	H2	intensity
X263b	21.207	12.276	0.756	1.6190e-03
X264	14.215	22.805	0.924	3.5999e-03
X264b	22.805	14.215	0.831	3.5999e-03
X265	25.567	22.805	0.924	1.9010e-03
X265b	22.805	25.567	1.376	1.9010e-03
X266	22.279	14.215	0.831	1.8367e-03
X266b	14.215	22.279	1.178	1.8367e-03
X267	25.567	14.215	0.831	4.5515e-03
X267b	14.215	25.567	1.376	4.5515e-03
X268	12.276	14.215	0.831	7.4875e-03
X268b	14.215	12.276	0.756	7.4875e-03
X269	21.191	14.215	0.831	2.4644e-02
X269b	14.215	21.191	0.648	1.4433e-03
X270	25.567	22.279	1.178	7.7688e-01
X270b	22.279	25.567	1.376	7.7688e-01
X271	23.827	22.279	1.178	3.1646e-02
X271b	22.279	23.827	0.842	3.1646e-02
X272	24.407	22.279	1.178	2.6124e-03
X272b	22.279	24.407	0.715	2.6124e-03
X273	11.691	22.279	1.178	9.5378e-04
X273b	22.279	11.691	0.901	9.5378e-04
X274	19.992	22.279	1.178	2.5167e-02
X274b	22.279	19.992	0.651	2.5167e-02
X275	21.191	22.279	1.178	4.8495e-02
X275b	22.279	21.191	0.648	4.8495e-02
X276	22.279	22.279	1.178	1.1288e-03
X276b	22.279	22.279	0.898	1.1288e-03
X277	20.492	22.279	1.178	8.9996e-04
X277b	22.279	20.492	0.261	1.7517e-02
X278	23.827	25.567	1.376	2.0871e-03
X278b	25.567	23.827	0.842	2.0871e-03
X279	19.992	25.567	1.376	4.4105e-03
X279b	25.567	19.992	0.651	4.4105e-03
X280	21.191	25.567	1.376	1.7948e-02
X280b	25.567	21.191	0.648	7.3592e-03
X281	25.237	25.567	1.376	1.0290e-03
X281b	25.567	25.237	0.781	1.0290e-03
X282	20.492	25.567	1.376	9.0689e-04
X282b	25.567	20.492	0.261	9.0689e-04
X283	26.784	23.827	0.842	1.9479e-03
X283b	23.827	26.784	0.611	1.9479e-03
X284	26.758	23.827	0.842	1.9479e-03
X284b	23.827	26.758	0.726	7.6385e-04
X285	23.700	23.827	0.842	8.0641e-04
X285b	23.827	23.700	0.743	8.0641e-04
X286	25.413	23.827	0.842	2.4536e-03
X286b	23.827	25.413	0.876	2.4536e-03
X287	13.747	23.827	0.842	1.5306e-03
X287b	23.827	13.747	0.503	1.5306e-03
X288	24.913	23.827	0.842	8.1957e-03
X288b	23.827	24.913	0.632	8.1957e-03
X289	24.407	23.827	0.842	2.5112e-02
X289b	23.827	24.407	0.715	2.5112e-02
X290	11.691	23.827	0.842	4.4480e-03
X290b	23.827	11.691	0.901	4.4480e-03
X291	19.992	23.827	0.842	5.9189e-03
X291b	23.827	19.992	0.651	5.9189e-03
X292	21.191	23.827	0.842	9.1688e-03
X292b	23.827	21.191	0.648	9.1688e-03
X293	26.758	26.784	0.611	5.3706e-01
X293b	26.784	26.758	0.726	5.3706e-01
