label	C1	C2	H2	intensity
X442	10.260	25.530	0.890	2.9689e-03
X443	21.260	10.260	0.670	2.8867e-02
X444	10.260	21.260	0.550	2.8867e-02
X445	26.060	10.260	0.670	3.4892e-02
X446	10.260	26.060	0.690	2.9140e-03
X447	23.760	10.260	0.670	1.3030e-02
X448	10.260	23.760	0.740	1.3030e-02
X449	24.230	10.260	0.670	4.2286e-03
X450	10.260	24.230	0.860	4.2286e-03
X451	27.680	10.260	0.670	5.1104e-02
X452	10.260	27.680	1.060	5.1104e-02
X453	26.020	10.260	0.670	3.4892e-02
X454	10.260	26.020	1.070	3.4892e-02
X455	24.390	10.260	0.670	4.6599e-02
X456	10.260	24.390	1.140	4.6599e-02
X457	28.240	10.260	0.670	1.4881e-03
X458	10.260	28.240	1.100	1.4881e-03
X459	22.100	10.260	0.670	5.2155e-03
X460	10.260	22.100	0.810	5.2155e-03
X461	27.120	10.260	0.670	1.0294e-03
X462	10.260	27.120	0.930	1.0294e-03
X463	23.300	10.260	0.670	1.1092e-03
X464	10.260	23.300	0.830	1.1092e-03
X465	21.480	23.580	1.550	1.8599e-03
X466	23.580	21.480	0.760	1.8599e-03
X467	21.090	23.580	1.550	5.6005e-03
X468	23.580	21.090	0.510	5.6005e-03
X469	20.580	23.580	1.550	2.1068e-03
X470	23.580	20.580	0.710	2.1068e-03
X471	22.930	23.580	1.550	2.2266e-03
X472	23.580	22.930	0.810	2.2266e-03
X473	25.530	23.580	1.550	1.5408e-02
X474	23.580	25.530	0.890	1.5408e-02
X475	22.100	23.580	1.550	2.1266e-03
X476	23.580	22.100	0.810	2.1266e-03
X477	27.120	23.580	1.550	1.7507e-02
X478	23.580	27.120	0.930	1.7507e-02
X479	23.300	23.580	1.550	2.4586e-02
X480	23.580	23.300	0.830	2.4586e-02
X481	19.730	23.580	1.550	2.5784e-03
X482	23.580	19.730	1.380	2.5784e-03
X483	22.620	23.580	1.550	1.9165e-02
X484	23.580	22.620	1.070	1.9165e-02
X485	19.230	23.580	1.550	2.6382e-03
X486	23.580	19.230	1.260	2.6382e-03
X487	19.920	23.580	1.550	2.9132e-03
X488	23.580	19.920	1.010	2.9132e-03
X489	22.810	23.580	1.550	1.0731e-03
X490	23.580	22.810	0.790	1.0731e-03
X491	21.090	21.480	0.760	6.1701e-01
X492	21.480	21.090	0.510	6.1701e-01
X493	22.560	21.480	0.760	4.1931e-03
X494	21.480	22.560	1.370	4.1931e-03
X495	21.980	21.480	0.760	7.2792e-02
X496	21.480	21.980	0.950	7.2792e-02
X497	23.040	21.480	0.760	4.6795e-03
X498	21.480	23.040	1.030	4.6795e-03
X499	20.580	21.480	0.760	2.3585e-03
X500	21.480	20.580	0.710	2.3585e-03
X501	21.340	21.480	0.760	8.1015e-03
X502	21.480	21.340	0.560	8.1015e-03
X503	19.730	21.480	0.760	1.5737e-02
X504	21.480	19.730	1.380	1.5737e-02
X505	20.680	21.480	0.760	4.3021e-03
X506	21.480	20.680	1.390	4.3021e-03
X507	18.120	21.480	0.760	1.7237e-02
X508	21.480	18.120	1.300	1.7237e-02
X509	12.760	21.480	0.760	2.7851e-03
X510	21.480	12.760	0.850	2.7851e-03
X511	21.980	21.090	0.510	5.1310e-03
X512	21.090	21.980	0.950	5.1310e-03
X513	20.580	21.090	0.510	1.2577e-02
X514	21.090	20.580	0.710	1.2577e-02
X515	21.340	21.090	0.510	2.2508e-02
X516	21.090	21.340	0.560	2.2508e-02
X517	19.730	21.090	0.510	1.2255e-02
X518	21.090	19.730	1.380	1.2255e-02
X519	19.920	21.090	0.510	8.2923e-03
X520	21.090	19.920	1.010	8.2923e-03
X521	20.680	21.090	0.510	8.5525e-04
X522	21.090	20.680	1.390	8.5525e-04
